id,date,title,media,description,link,is_featured,is_interactive,role_1,role_2,role_3,role_4,skill_1,skill_2,skill_3,viz_1,viz_2,viz_3,viz_4,viz_5,img
20,09-2023,Texas just recorded its second hottest summer on record,Texas Tribune,"As Texas endured weeks of extreme heat, I tracked the number of days temperatures reached or exceeded 100°F in major cities across the state. The data was gathered using NOAA's API endpoints. This visualization combines a line chart and a frequency chart to display the findings.",https://www.texastribune.org/2023/09/07/texas-hottest-summer-2023/,FALSE,FALSE,data visualization,data analysis,,,R,Illustrator,API endpoints,line chart,frequency chart,scatterplot,,,png
21,09-2023,"Who’s who in the Ken Paxton impeachment trial, from key participants to potential witnesses",Texas Tribune,"Leading up to Texas Attorney General Ken Paxton's impeachment trial, I designed and developed an app highlighting key individuals attending (or not attending) the trial. The main graphic places these individuals within the Texas Senate Chamber, allowing users to click on each person's headshot for additional information and related coverage about them.",https://www.texastribune.org/2023/09/01/ken-paxton-impeachment-witnesses-parties/#dv-card__harriet-oneill,FALSE,TRUE,design,front-end development,,,figma,d3.js,React,diagram,,,,,png
19,06-2023,Climate change has sent temperatures soaring in Texas,Texas Tribune,I conducted a series of data analyses on temperature trends to demonstrate where and how temperatures are rising. I completed the initial analyses and chart designs before starting my maternity leave.,https://www.texastribune.org/2023/06/27/texas-climate-change-heat/,FALSE,FALSE,data analysis,data visualization,,,R,,,line chart,choropleth map,,,,png
18,01-2023,Texas heat-related deaths reached a two-decade high in 2022 amid extreme temperatures,Texas Tribune,"I created short-term graphics illustrating the increasing number of heat-related deaths in Texas and the locations where these deaths occurred. The second visualization combines a table, heat map, and locator map to comprehensively present the data.",https://www.texastribune.org/2023/01/26/texas-heat-deaths-migrants-climate-change/,FALSE,FALSE,data visualization,data analysis,,,Illustrator,R,,bar chart,heat map,locator map,,,png
17,10-2022,Texas’ plan to provide water for a growing population virtually ignores climate change,Texas Tribune,"Several graphics in this story illustrate how Texas' water demand is increasing while supplies become less reliable. A choropleth map, paired with proportional bar charts, animates to show projected water resources for each county. Additionally, a scatterplot highlights how rapidly growing counties are expected to experience higher water demand.",https://www.texastribune.org/2022/10/31/texas-water-plan-reservoirs-climate-change/,FALSE,TRUE,data visualization,data analysis,front-end development,map making,d3.js,R,Illustrator,choropleth map,proportional bar chart,scatter plot,raster map,,png
16,09-2022,"A celebrated surgeon, a trail of secrets and death",Boston Globe,"I assisted the Spotlight team in analyzing data and identifying key data points. My analysis contributed to their <a href=""https://apps.bostonglobe.com/2022/09/07/metro/investigations/spotlight/trail-of-secrets-and-death/dashboard/"" target=""_blank"">data dashboard</a> as well as the story itself.",https://apps.bostonglobe.com/2022/09/07/metro/investigations/spotlight/trail-of-secrets-and-death/yvon-baribeau-malpractice-manchester-new-hampshire/,FALSE,FALSE,data analysis,,,,R,,,,,,,,png
15,08-2022,Food Price Inflation Imposing Heavy Burden on Poorer Countries,The Wall Street Journal,"I developed an interactive chart that allows users to zoom in and out of a scatter plot by scrolling. As readers navigate through different sections of the chart, they gain a deeper understanding of what each data point represents.",https://www.wsj.com/articles/food-price-inflation-imposing-heavy-burden-on-poorer-countries-11659810915,FALSE,TRUE,data visualization,front-end development,data analysis,,d3.js,WSJ's internal JS framework,,scatter plot,line chart,beeswarm chart,,,png
13,05-2022,Ukrainian refugee crisis,School work,I visualized data on refugees fleeing Ukraine using dots and animations to represent the movement and distribution of refugees.,https://yuriko-schumacher.github.io/ukrainian-refugees/,FALSE,TRUE,data visualization,page design,front-end development,map making,three.js,Mapbox,QGIS,dot density plot,symbol map,,,,png
14,05-2022,Migration is Natural,School work,"My teammates and I analyzed migration data and visualized it using a butterfly metaphor. Each region is represented by a butterfly, which users can click on to explore the path to acquiring citizenship in a country within the selected region.",https://yuriko-schumacher.github.io/migration-draft/,FALSE,TRUE,data visualization,page design,front-end development,prototyping,d3.js,figma,R,pictogram,proportional area chart,symbol map,,,png
10,02-2022,The Astrological Effect on Aviation,School work,"My teammates and I analyzed the relationship between astrological events and flight accidents and delays, specifically examining the impact of moon phases and Mercury retrograde periods on flight disruptions in the U.S.",https://yuriko-schumacher.github.io/tyswd/,FALSE,TRUE,data visualization,front-end development,page design,data analysis,d3.js,Svelte,R,scatterplot,radial chart,density plot,waffle chart,,gif
11,02-2022,New ethnic studies requirements mean more lessons on race in Boston classrooms,Boston Globe,"I collaborated with an independent journalist <a href=""https://www.lindakwertheimer.com/"" target=""_blank"">Linda K. Wertheimer</a> for a story about ethnic studies courses in the U.S. Using data from Holyoke Public Schools, I conducted statistical tests to assess the impact of taking ethnic studies courses, with guidance from Arindrajit Dube, a professor at the University of Massachusetts.",https://www.bostonglobe.com/2022/02/17/magazine/new-ethnic-studies-requirements-mean-more-lessons-race-boston-classrooms/,FALSE,TRUE,statistical analysis,front-end development,data analysis,map making,R,Svelte,d3.js,bar chart,symbol map,donut chart,,,gif
8,12-2021,74 storms hitting MA: Where they came from and where they were going,School work,"I created four different types of maps and visualizations illustrating all storms that have directly impacted Massachusetts since the 1850s. I gathered and cleaned the data before importing it into QGIS for geoprocessing and map design. Afterward, I transferred the maps to Illustrator to finalize the static presentation.",https://github.com/Yuriko-Schumacher/yuriko-schumacher.github.io/blob/master/public/pdf/hurricane.pdf,FALSE,FALSE,map making,GIS analysis,page design,,QGIS,Illustrator,R,raster map,symbol map,stacked dot plot,small multiples,,gif
9,12-2021,Moon Junk,School work,"I found <a href=""https://www.nasa.gov/wp-content/uploads/2024/02/final-catalogue-of-manmade-material-on-the-moon.pdf"" target=""_blank"">this fascinating data set</a> on manmade materials on the moon, which includes the years and locations where the materials landed, along with the countries responsible for sending them. I mapped these on the moon surface and organized them by year. Additionally, I created <a href=""https://yuriko-schumacher.github.io/moon-three/"" target=""_blank>this 3D app</a> for users who want to explore the objects themselves.",https://yuriko-schumacher.github.io/moon-junks/,FALSE,TRUE,GIS analysis,page design,front-end development,data visualization,three.js,d3.js,,symbol map,stacked dot plot,3D map,,,png
7,08-2021,"Charts show 2020 was not as bad a year for the dairy industry, but the crisis continues",Milwaukee Journal Sentinel,"I gathered and analyzed data on the dairy industry in Wisconsin before conceptualizing the story, designing, and producing the data visualizations.",https://www.jsonline.com/story/communities/2021/08/06/2020-not-bad-dairy-industry-but-crisis-continues/5383796001/,FALSE,FALSE,data analysis,data visualization,reporting,,R,,,bar chart,line chart,,,,png
6,07-2021,"In Milwaukee, thousands of vacant homes and lots threaten neighborhood safety and property values",Milwaukee Journal Sentinel,I analyzed data on vacant properties and developed an interactive map to visualize the findings.,https://www.jsonline.com/story/news/local/milwaukee/2021/07/15/milwaukees-vacant-homes-threaten-neighborhood-safety-property-values/5026155001/,FALSE,TRUE,front-end development,data analysis,,,d3.js,Mapbox,,symbol map,,,,,png
5,06-2021,Kyoto’s cherry blossoms blooming earlier than ever,School work,"I visualized the peak bloom dates of cherry blossoms since 812 as a design challenge. I combined a pictogram scatterplot and a histogram, where the scatterplot transitions into the histogram as you scroll. In the smaller version, a bar moves automatically, and users can drag and drop the bar, causing the page to scroll to the corresponding date.",https://globalobserver.github.io/projects/cherry-blossom/index.html,FALSE,TRUE,data visualization,front-end development,page design,reporting,d3.js,R,,pictogram,scatterplot,histogram,,,gif
3,05-2021,Boston Police body cam footage shows confrontations during the protests following the death of George Floyd,School work,"On May 31, 2020, demonstrations in downtown Boston escalated into violent clashes between protesters and police. I tracked key moments from that night using body camera footage revealed by the news and commentary website, <a href=""https://theappeal.org/bodycam-video-shows-mob-mentality-of-boston-police-who-responded-to-george-floyd-protests-lawyer-says/"" target=""_blank"">The Appeal</a>.",https://thescopeboston.org/6547/features/boston-police-body-cam-footage-shows-confrontations-during-the-protests-following-the-death-of-george-floyd,FALSE,TRUE,front-end development,page design,,,d3.js,Mapbox,video editing,symbol map,dot strip plot,,,,gif
4,05-2021,Statistical analysis of cherry blossom's first-blooming date,School work,"I conducted a range of statistical analyses to examine the trend of first-blooming dates for Japanese cherry blossoms and to test various theories about these dates. The analyses included: a paired t-test comparing actual blooming dates to a 30-year moving average, a one-sample t-test to compare actual blooming dates to expected dates based on a theory, and the geographic mapping of locations where cherry blossoms bloomed on April 1st from the 1950s to the present, among others.",https://yuriko-schumacher.github.io/statistical-analysis-of-cherry-blossom-first-bloom-date/,FALSE,FALSE,statistical analysis,data visualization,,,R,,,dot strip plot,scatter plot,symbol map,histogram,,gif
1,12-2020,Analysis of Sumo Wrestlers,School work,I analyzed the tournament ranking tables of Japanese sumo wrestling to identify the characteristics of wrestlers who consistently rank at the top.,https://yuriko-schumacher.github.io/sumo/#header,FALSE,TRUE,data visualization,data analysis,front-end development,,d3.js,R,,stacked dot plot,scatter plot,,,,gif
2,12-2020,The life of a caregiver amid the COVID-19 pandemic,School work,"This multimedia project explores the lives of individuals with dementia and their family caregivers during the coronavirus pandemic. I interviewed two in-home caregivers from the Boston area, and their stories are shared through a combination of text, images, audio files, and videos.",https://yuriko-schumacher.github.io/the-life-of-a-caregiver-amidst-the-COVID-19-pandemic/#lisa,FALSE,FALSE,page design,front-end development,,,JavaScript,audio editing,video editing,,,,,,png
